Tipo de Movimiento,X [m],Y [m],Z [m],Rx [rad],Ry [rad],Rz [rad],Base [rad],Shoulder [rad],Elbow [rad],Wrist 1 [rad],Wrist 2 [rad],Wrist 3 [rad]
1,-0.1,0.317357604305728,0.304483011096618,2.19359229007831,0.0602026254051249,2.19359229007831,-0.746550376392479,-1.50979057614982,-1.92731547215259,-2.84607924194024,0.824245944295191,1.51592057015345
1,-0.1,0.313363625491587,0.304702403968403,1.68331456866374,0.813872092329452,1.68331456866374,-0.738081369966911,-1.50091048028688,-1.93495342326446,-2.84732140733459,0.832714968095695,0.670085065864484
1,-0.1,0.310571986534407,0.308383643503802,2.14440120664004,0.159235180448073,2.14440120664005,-0.732069435678496,-1.49216891919088,-1.93317084099296,-2.85784554785585,0.838726890669864,1.42255590409832
1,-0.1,0.306199097305957,0.30890588967332,2.13793076193638,0.171640007202267,2.13793076193638,-0.722496119278143,-1.48223720111754,-1.94078062046597,-2.86016747907645,0.848300207420948,1.41057348855323
1,-0.1,0.300856663869246,0.309772017196528,2.0566361779659,0.31698863110065,2.0566361779659,-0.710535084693862,-1.46993494546215,-1.949474023716,-2.86377633659644,0.860261243220995,1.26494379391389
1,-0.1,0.295896912110349,0.31133815167245,2.13355133255327,0.179959944790346,2.13355133255327,-0.699162309920421,-1.45798514787554,-1.9558406881259,-2.86935945004827,0.87163401102782,1.40249945322499
1,-0.1,0.290412616342716,0.312269105291249,2.08400442791818,0.270090351767112,2.08400442791818,-0.686276282966215,-1.44532118651164,-1.96434961239697,-2.87351454798227,0.884520043917309,1.31302989316482
1,-0.1,0.285168579137495,0.313652346933612,2.0987018992811,0.244087958677056,2.0987018992811,-0.673640386956155,-1.43288143020479,-1.97130098198977,-2.87900290410056,0.897155940059826,1.33922820217465
1,-0.1,0.280183953661473,0.314827618114355,1.70365570622264,0.792053771504634,1.70365570622264,-0.661335798552587,-1.42115696954872,-1.97804140625854,-2.88398693321629,0.909460531480983,0.700422041169456
1,-0.1,0.277106374401305,0.318555332175909,2.05510891814811,0.319549936906368,2.05510891814811,-0.653592078615365,-1.41201546524318,-1.97579878072604,-2.89537106744191,0.917204236608853,1.26228580729854
1,-0.1,0.272730945442587,0.319890739588104,2.19021243394195,0.0672927286459408,2.19021243394195,-0.642385319847792,-1.40157913274457,-1.98082484456996,-2.90078133039066,0.928411005924517,1.50936706668793
1,-0.1,0.267461669226771,0.32021471261579,1.73910170615652,0.752847571007603,1.73910170615652,-0.628573806085929,-1.38980633380337,-1.9894601752942,-2.90391880056457,0.942222525641087,0.753719695762775
1,-0.1,0.264272283228251,0.323738229172655,2.09875305268658,1.11713852778156,1.65144282180796,-0.574432794491283,-1.19944949621391,-2.0716811382249,-2.52703700837373,0.782369307346469,0.509904720892341
1,-0.0977755081816436,0.26064826139737,0.326981174360569,-1.90075983451221,-1.52960667124679,-1.16840287477901,-0.520550993611089,-0.869194591856593,-2.41534212637219,-1.27512697522368,0.59091032037343,-0.386560918964673
1,-0.092552745872927,0.259107992734228,0.32796444606781,-1.6141409491417,-1.61414094914171,-0.884573103719845,-0.573579730656798,-0.886560691730472,-2.53276395788018,-0.58855015367166,0.784135786408225,-0.876310371745538
1,-0.088438593140481,0.259107992734228,0.32796444606781,-1.61414094914171,-1.6141409491417,-0.884573103719844,-0.586126228623136,-0.88142159630497,-2.53603493475777,-0.580950784411766,0.792307013690512,-0.889737167041453
