3762
3788
3800
3803
3484
3801
3789
3766
3743
3714
3683
3645
3589
3531
1946
1948
1950
1952
1954
1956
1958
1960
1962
1964
1966
1968
1970
1972
1974
1976
1978
3788
3800
3803
3484
3801
3789
3766
3743
3714
3683
3645
3589
3531
1946
1948
1950
1952
1954
1956
1958
1960
1962
1964
1966
1968
1970
1972
1974
1976
1978
431
2940
491
2981
529
3022
567
3063
605
3104
643
3145
136
757
875
983
1083
1178
3788
3800
3803
3484
3801
3789
3766
3743
3714
3683
3645
3589
3531
1946
1948
1950
1952
1954
1956
1958
1960
1962
1964
1966
1968
1970
1972
1974
1976
1978
431
2940
491
2981
529
3022
567
3063
605
3104
643
3145
136
757
875
983
1083
1178
1176
1174
1262
1260
1259
1258
1337
1336
1335
1408
1407
1406
1470
1469
1529
1528
1581
1580
1560
1504
1441
1373
1297
1212
1120
1023
919
807
687
76
3516
3574
3630
3674
